title,text,class,subject,date
‘We Caved’,"On a late July day this past summer, a roar filled the sky over Cairo. It was the sound of Barack Obama’s capitulation to a dictator.

Eight new American fighter jets, freshly delivered from Washington, swooped low over the city, F-16s flying in formation. As they banked hard over the city’s center, they trailed plumes of red, white and black smoke—the colors of the Egyptian flag.

For Egypt’s brutally repressive president, General Abdel Fattah el-Sisi, the spectacle was a triumph, symbolizing not only his militaristic power at home, but also his victory over an American president who had tried to punish him before surrendering to the cold realities of geopolitics.

Just two years earlier, Sisi had seized power in a military coup, toppling Mohamed Morsi, the democratically elected successor to Hosni Mubarak, himself a strongman of 30 years pushed out in early 2011 by mass protests in Cairo’s Tahrir Square. In the summer of 2013, Sisi followed his coup with a brutal crackdown that would have done Saddam Hussein proud. His security forces arrested thousands of people, including much of his political opposition, and in one bloody day that summer, they gunned down some 1,000 pro-Morsi protesters (or more) who were staging peaceful sit-ins. The massacre was shocking even by the standards of Egypt’s long-dismal human rights record.

Obama was appalled. “We can’t return to business as usual,” he declared after the slaughter. “We have to be very careful about being seen as aiding and abetting actions that we think run contrary to our values and ideals.”

Several weeks later, Obama halted the planned delivery of U.S. military hardware to Cairo, including attack helicopters, Harpoon missiles and several F-16 fighter jets, as well as $260 million in cash transfers. He also cast doubt on the future of America’s $1.3 billion in annual military aid to Egypt—a subsidy on which Cairo depends heavily, and much more than the United States sends to any country in the world aside from Israel.

But a fierce internal debate soon broke out over whether and how to sanction Egypt further, a fight that many officials told me was one of the most agonizing of the Obama administration’s seven years, as the president’s most powerful advisers spent months engaged in what one called “trench warfare” against each other. It was an excruciating test of how to balance American values with its cold-blooded security interests in an age of terrorism. Some of Obama’s top White House aides, including his deputy national security adviser, Ben Rhodes, and the celebrated human rights champion Samantha Power, now U.S. ambassador to the United Nations, urged the president to link further military aid to clear progress by Sisi on human rights and democracy. But Secretary of State John Kerry, then-Defense Secretary Chuck Hagel and Hagel’s successor, Ash Carter, argued for restoring the aid. Trying to punish Sisi would have little effect on his behavior, they said, while alienating a bulwark against Islamic radicalism in an imploding Middle East. “Egypt was one of the most significant policy divides between the White House and the State Department and the Department of Defense,” says Matthew Spence, a former deputy assistant secretary of defense for Middle East policy.

For months, Obama tried to split the difference. In meetings and phone calls with the Egyptian ruler, by now paranoid and resentful about America’s intentions, Obama and Kerry urged Sisi to respect human rights, while also seeking his help in countering the the metastisizing Islamic State in nearby Syria and Iraq. Sisi did little of either.

In the end, Obama folded. This past March, he called Sisi once again, this time to explain that he would release the cash transfers and delayed hardware—including the F-16s—and end the administration’s threats to block the larger $1.3 billion annual aid package.

“We caved,” says a former senior administration official who participated in the debates.

In a long conversation recently, Rhodes, the speechwriter turned national security aide who has been with Obama from the beginning of his presidency, didn’t mince words when it came to the years-long internal battle over Egypt. “We’re in that sweet spot where everyone is pissed off at us,” Rhodes told me.

And not just about Egypt. The persistent problem of how to deal with American-allied strongmen has long tripped up a president who prefers pragmatic solutions to moral purity but has been unable to find much of either in the Middle East. While every U.S. president struggles to balance values like democracy and human rights with national security, Obama has struggled more than most because of the vast gap between his inspirational rhetoric and the compromises he has made with thuggish world leaders, especially—but by no means exclusively—in a Middle East where authoritarian heads of state from Riyadh to Cairo have cracked down with renewed vigor after the unsettling protests of the Arab Spring.

“The rhetoric got way ahead of the policymaking,” says Michael Posner, who served as Obama’s top State Department official for human rights and democracy in his first term. “It … raised expectations that everything was going to change.”

“He’s never quite melded his rhetoric with his policies,” says Dennis Ross, who served as Obama’s top Middle East aide in his first term. Adds Robert Ford, who was Obama’s ambassador to Syria before resigning in frustration over the president’s policy there: “It seems like we are swinging back to the idea that we must make a choice between supporting dictators or being safe.”

Their views were echoed in many of more than two dozen recent interviews with current and former administration officials, members of Congress, experts and activists—interviews that revealed a striking degree of frustration and disillusionment. Many Obama supporters started out believing that the president had grand ambitions for replacing George W. Bush’s militaristic posture with a more enlightened and progressive approach to the world before coming to believe they had misread a president who was not the idealistic internationalist they had thought he was.

In hindsight, it seems clear that Obama came to office far more focused on showing the world that the Bush era was over than on any coherent strategy of his own for advancing human rights or democracy.

But it didn’t seem that way at the time: Obama’s aides entered the White House full of plans for “dignity promotion”—a favorite phrase of Power’s meant to signal a contrast with Bush’s post-9/11 talk of “democracy promotion” and his second-term “Freedom Agenda” that many came to equate not with Bush’s lofty goal of “ending tyranny in our world” but with imposing Western values on countries like Iraq and Afghanistan at gunpoint.

",1,,
Zimbabwe court postpones U.S. citizen's subversion case to January,"HARARE (Reuters) - A Zimbabwean court has postponed to Jan. 4 the trial of a U.S. citizen accused of attempting to undermine the authority of former Zimbabwean president Robert Mugabe s government. Martha O Donovan, 25, who is currently free on bail, denies the charges which center on a Twitter post the state says she wrote in October calling 93-year-old Mugabe a  selfish and sick man . Mugabe resigned a few weeks later in the wake of a de facto military coup and was succeeded by Emmerson Mnangagwa, who Mugabe had sacked as his deputy only a week before. The state said it needed more time to complete its investigations into the allegations against O Donovan, who works for Magamba TV, which describes itself as Zimbabwe s leading producer of political satire. When he released her on bail last month, High Court Judge Clement Phiri said there was  patent absence of facts  in the state s case against her. ",1,worldnews,"December 8, 2017 "
Congress sends White House repeal of broadband privacy rules,"WASHINGTON (Reuters) - The U.S. House voted on Tuesday 215-205 to repeal regulations requiring internet service providers to do more to protect customers’ privacy than websites like Alphabet Inc’s Google or Facebook Inc. The White House said earlier Tuesday that President Donald Trump strongly supports the repeal of the rules approved by the Federal Communications Commission in October under then-President Barack Obama. Under the rules, internet providers would need to obtain consumer consent before using precise geolocation, financial information, health information, children’s information and web browsing history for advertising and marketing. Last week, the Senate voted 50-48 to reverse the rules in a win for AT&T Inc, Comcast Corp and Verizon Communications Inc. The White House in its statement said internet providers would need to obtain affirmative “opt-in” consent from consumers to use and share certain information, but noted that websites are not required to get the same consent. “This results in rules that apply very different regulatory regimes based on the identity of the online actor,” the White House said. Websites are governed by a less restrictive set of privacy rules overseen by the Federal Trade Commission. FCC chairman Ajit Pai in a statement praised the decision of  Congress to overturn “privacy regulations designed to benefit one group of favored companies over another group of disfavored companies.” Last week, Pai said consumers would have privacy protections even without the Obama internet provider rules, but critics say they will weaker. The American Civil Liberties Union, which opposes the measure, said companies “should not be able to use and sell the sensitive data they collect from you without your permission.” An Internet & Television Association statement called the repeal “an important step toward restoring consumer privacy protections that apply consistently.” One critic of the repeal, Craig Aaron, president of Free Press advocacy group, said major Silicon Valley companies shied away from the fight over the rules because they profit from consumer data. “There are a lot of companies that are very concerned about drawing attention to themselves and being regulated on privacy issues, and are sitting this out in a way that they haven’t sat out previous privacy issues,” Aaron said.  Representative Michael Capuano, a Massachusetts Democrat, said Tuesday that Comcast could know his personal information because he looked up his mother’s medical condition and his purchase history. “Just last week I bought underwear on the internet. Why should you know what size I take? Or the color?” Capuano asked. “They are going to sell it to the underwear companies.” Comcast declined to comment. Representative Michael Burgess, a Texas Republican, said the rules “unfairly skews the market in favor” of websites that are free to collect data without consent. Republican commissioners, including Pai, said in October that the rules would unfairly give websites like Facebook, Twitter Inc or Google the ability to harvest more data than internet service providers and thus further dominate digital advertising. The FCC earlier this month delayed the data rules from taking effect. ",1,politicsNews,"March 28, 2017 "
Poland's stance on migrants unchanged despite EU court ruling: PM,"KRYNICA ZDROJ, Poland (Reuters) - Poland will continue to refuse to accept migrants under a European Union relocation scheme despite a ruling by EU s highest court that Brussels had the right to force member states to take in asylum seekers, Prime Minister Beata Szydlo said on Wednesday.  I was convinced that such a decision would be made (by the court), but this absolutely does not change the stance of the Polish government with respect to migration policy,  Szydlo told reporters on the sidelines of a business conference. Earlier on Wednesday, the European Union s highest court dismissed complaints by Slovakia and Hungary about EU migration policy. ",1,worldnews,"September 6, 2017 "
Putin critic Navalny calls election boycott rallies,"MOSCOW (Reuters) - Opposition leader Alexei Navalny announced on Wednesday a series of rallies across Russia in January to press home his call for a boycott of next year s presidential election, a move likely to draw a sharp response from the Kremlin and police. Navalny unveiled his plan hours after President Vladimir Putin, who polls suggest is a shoo-in for re-election, registered his candidacy at the central election commission ahead of the March 18 vote.  The commission ruled on Monday that Navalny was not eligible to run against Putin due to a suspended prison sentence.  A furious Navalny, who says the sentence was part of a fabricated case designed to thwart his political ambitions, responded by calling for an election boycott. That prompted the Kremlin to demand an investigation to determine whether his statement broke the law. On Wednesday, Navalny upped the ante, saying he and his supporters would organize nationwide rallies on Jan. 28 in 85 towns and cities, including Moscow and St Petersburg, to support his call for an election boycott.  We refuse to call the reappointment of Putin an election,  Navalny said in a statement on his website.   We are not going to vote and will convince everyone around us not to vote. We are going to campaign (for a boycott) with all our might.  A boycott could pose a problem for the Kremlin which is keen to ensure a high turnout in the election to help confer legitimacy on Putin s expected victory amid some signs of apathy among voters. Under Russian law, the time and place of rallies must be agreed with the authorities who have often declined to authorize them in the past, citing conflicting events or security concerns. When the opposition has gone ahead anyway, the police have broken up rallies by force and detained attendees.        Polls show that Putin, who has led Russia for 18 years as either president or prime minister, is on course to comfortably win another six-year term, allowing him to rule until 2024, when he ll turn 72. The former KGB officer is running as an independent, a move seen as a way of strengthening his image as a  father of the nation  rather than as a party political figure. The ruling United Russia party, which he once led and which controls three quarters of seats in the lower house of parliament, has said it will support him, as will Just Russia, a pro-government center-left group. Allies laud Putin for restoring national pride and expanding Moscow s global clout with interventions in Syria and Ukraine. But Navalny says Putin has been in power too long and that his support is artificially maintained by a biased state media and an unfair system which excludes genuine opponents.   Navalny has made a name for himself by successfully leveraging social media and conducting high profile corruption investigations into senior officials. He has also organized some of the biggest anti-government protests in years. Opinion polls, whose accuracy Navalny dismisses, put his support in single digits while giving Putin an approval rating of around 80 percent. ",1,worldnews,"December 27, 2017 "
Factbox: Where key U.S. Republican senators stand on healthcare bill,"WASHINGTON (Reuters) - U.S. Senate Republicans offered a bill on Thursday to overhaul Obamacare, the next phase in the party’s long war against the 2010 law enacted by then-Democratic President Barack Obama. The legislation met a wall of opposition from Democrats and initial skepticism among some Republicans, leaving Senate Republican leader Mitch McConnell a narrow path to passage. The bill would roll back an expansion of the Medicaid health program for the poor and disabled over three years, cut its federal funding beginning in 2025, restructure Obamacare’s tax credits for low-income Americans, and repeal several taxes.  To pass the bill, Senate Majority Leader Mitch McConnell can only afford to lose two Republican votes. The Senate is comprised of 52 Republicans, 46 Democrats and two independents who caucus with the Democrats (In the event of a deadlocked vote, Republican Vice President can vote to break the tie.)     Several Republicans on Thursday expressed reservations or opposition to the bill: Rand Paul of Kentucky, Ron Johnson of Wisconsin, Ted Cruz of Texas and Mike Lee of Utah said in a joint statement: “We are not ready to vote for this bill. ... There are provisions in this draft that represent an improvement to our current health care system, but it does not appear this draft as written will accomplish the most important promise that we made to Americans: to repeal Obamacare and lower their health care costs.” The four said they were open to negotiation, with Cruz saying in a separate statement that he wants to “get to yes.” Richard Burr of North Carolina said outside the Senate: “I’m supportive of it. I think it strikes a balance.” He added that the blueprint “can still be amended and probably will.” Three members of the Senate Republican leadership - John Cornyn of Texas, John Thune of South Dakota, and John Barrasso of Wyoming - all put out supportive statements, saying the bill would help improve the affordability of healthcare. Barrasso said the bill was not perfect, and “we will be working to improve on this draft.” UNDECIDED - LEANING YES Patrick Toomey of Pennsylvania said he was “still studying it but it strikes me as a good first step in what will be an ongoing process of fulfilling a commitment we made to the American people.” Richard Shelby of Alabama: “We’re looking at it. My plan is to support the thrust of the bill. If it’s a good bill overall, I’m going to support it.” Lamar Alexander of Tennessee listed a number of benefits for his constituents in the draft, including that it makes no change in Medicare benefits. “I’m going to stay focused on it next week as the bill goes to the Senate floor ... and my focus will be on how it affects Tennesseans.” Shelley Moore Capito of West Virginia: “I will review the draft legislation released this morning ... to evaluate whether it provides access to affordable health care for West Virginians.” Bill Cassidy of Louisiana: “I’m undecided. I have to read the text.” Marco Rubio of Florida said he will “decide how to vote on health care on the basis of how it impacts Florida.” Dean Heller of Nevada said he had “serious concerns” about the bill’s impact on Medicaid in his state. Susan Collins of Maine said it was “too soon” to judge the bill and she has some concerns about cuts to Medicaid after 2025 and defunding of Planned Parenthood. Rob Portman of Ohio said in a statement that he continued to have “real concerns” about the Medicaid policies in the bill, especially those that affect drug treatment. He said his decision will depend on what is in the final version of the bill. Lisa Murkowski of Alaska said, “I’m going to read it.” James Risch of Idaho: “It’s a work in progress. Ask me again when we see the final product.” John McCain of Arizona said he is reading the bill. “It’s a big thing, we just found out about it. I am just waiting until I can absorb the entire bill.” Thom Tillis of North Carolina said in a statement that any replacement plan must be a net improvement over Obamacare, and he would be “reviewing the draft legislation over the next several days.” Tom Cotton of Arkansas said, “no comment.” ",1,politicsNews,"June 22, 2017 "
"WOW! STERLING HTS, MI CITY COUNCIL Caves On Mega-Mosque Project In Middle Of Christian Neighborhood…Council Member CAUGHT On VIDEO Admitting Mosque Is Part Of “Religious War”","In September 2015, the Sterling Heights, MI City Council representing a city of 130,000 people in southeastern Michigan, denied the proposal for a mega-mosque in a residential neighborhood populated largely by Christian refugees who fled Islamic persecution in Iraq.Sterling Heights already has two mosques, but a third, the American Islamic Community Center, applied for a permit and was rejected after it was determined its proposed use was incompatible with the residential area. Too much traffic, too little parking, the city planning commission decided by a 9-0 vote against the mosque in September 2015.But in December, the mosque sued the city and the Obama Justice Department joined in, claiming the real reason the mosque was denied was because the city was caving to anti-Muslim bigotry in the community. A settlement deal was announced last night during a Sterling Heights City Council meeting.As expected, the attorney for the mosque developers claimed the reasons these mostly Christian refugees from Iraq are in opposition to a mosque being built in their residential neighborhood  fake :Sterling Heights, MI residents spoke out against the proposed mega-mosque during a planning commission meeting where the residents were given an opportunity to have their views heard by the city council:Many of the Sterling Heights residents who live in the area of the proposed mosque are Christian-Iraqi refugees who fled persecution of Muslims in their native land. The last thing they want is an Islamic mega-mosque erected in their backyards.  Before announcing the decision to go ahead with the proposed plan for building the mega-mosque in a local neighborhood, Sterling Heights City Councilman Doug Skrzyniarz claimed the primary reasons for going ahead with the plans were to avoid costly litigation while allowing officials to have more say in the mosque s layout. We have reduced our financial risk and we ve been able to have input on what the actual development is going to contain,  Councilman Doug Skrzyniarz told the large crowd. But it s what he said next, that s NOT being reported by local or national news outlets that was even more telling and it happens near the end of the video:",0,left-news,"Feb 22, 2017"
U.S. senator launches probe into five top opioid drugmakers,"(Reuters) - U.S. Democratic Senator Claire McCaskill sought on Tuesday details from the nation’s top opioid drugmakers on their sales and marketing practices, as lawmakers step up efforts to tackle the country’s deadly opioid crisis. The Missouri senator’s investigation comes amid an epidemic of opioid addiction, with 91 Americans dying everyday as a result of overdose, according to the U.S. Centers for Disease Control and Prevention. ""This epidemic is the direct result of a calculated sales and marketing strategy major opioid manufacturers have allegedly pursued over the past 20 years to expand their market share,"" McCaskill, the top Democrat on the Senate Homeland Security and Governmental Affairs Committee, wrote in a letter to the drugmakers. (bit.ly/2o7pa4p) McCaskill asked Johnson & Johnson, Mylan NV, Purdue Pharma, Insys Therapeutics Inc and Depomed Inc for internal estimates of the risk of abuse, addiction and overdose of opioids. The companies are the top five U.S. prescription opioid drugmakers by 2015 sales, according to McCaskill’s letter. Depomed and Purdue Pharma said they were reviewing the letter and would respond accordingly. Purdue also said its OxyContin painkiller made up just 2 percent of the U.S. opioid analgesic prescription market. Johnson & Johnson said it had received the letter and would address the senator’s request. “We believe that we have acted appropriately, responsibly and in the best interests of patients regarding our opioid pain medications,” said Jessica Castles Smith, a spokeswoman for Johnson & Johnson unit Janssen. Mylan said it is committed to helping find solutions to the issue of opioid abuse and misuse. “We welcome the senator’s interest in this important matter and we share her concerns regarding the misuse of prescription opioids,” a Mylan spokeswoman told Reuters in an email. ",1,politicsNews,"March 28, 2017 "
Angola’s first new president in 38 years vows to fight graft,"LUANDA (Reuters) - Angola s first new president in almost four decades vowed to rebuild an economy devastated by falling oil prices and fight corruption at his inauguration on Tuesday. Jo o Louren o told thousands of supporters in Luanda he would also tackle gaping inequality in Africa s second largest oil producer - though analysts have already raised doubts about his ability to make far-reaching change.  No one is so rich and powerful that they cannot be punished and no one is so poor that they cannot be protected,  he said to loud applause. In a 45-minute speech, Louren o said he would strive to bring in reforms covering gender equality, the freedom of the press, private enterprise and public health.     Former president Jose Eduardo dos Santos remains head of the ruling MPLA party, giving the veteran leader influence over key policy decisions. Any serious attempt to transform the country could put Louren o on a collision course with senior party figures and powerful interest groups. Angola s economy fell into recession last year, while unemployment is officially over 20 percent and a shortage of foreign currency has forced firms to pull back operations. Louren o said he would work to reduce state intervention in the economy and give free enterprise the space and support to thrive. He has previously said he does not rule out negotiating a deal with the International Monetary Fund or World Bank to help rebuild an economy heavily reliant on oil.  There are enormous challenges before us ... We call on the help of everyone on this difficult journey,  he said. ",1,worldnews,"September 26, 2017 "
Spanish government to meet at 1600 GMT on Catalonia,"MADRID (Reuters) - The Spanish government will hold a special cabinet meeting at 6 p.m. local time (1600 GMT) to enforce direct rule over Catalonia, Prime Minister Mariano Rajoy said on Friday, after the region declared independence from Spain.  Spain is a serious country and a great nation and we will not tolerate that a few people try liquidate our constitution,  Rajoy told journalists after the upper house of parliament allowed him to take control of Catalonia. ",1,worldnews,"October 27, 2017 "
